n_permutations_length,width,layers,model,final_train_loss,train_r2,train_rmse,train_spearman,test_r2,test_rmse,test_spearman,rmse_gap,spearman_gap,fit_time_sec,predict_time_sec,n_epochs,n_random_walks_to_generate,n_random_walk_length
8,1024,[1024],MLP_1024_epochs10_rwlen28_n_rw10000,0.7395032093907795,0.991696298122406,0.7360826134681702,0.9957077123144487,0.855600118637085,3.069542407989502,0.9480584542870134,2.333459794521332,0.04764925802743525,1.5598204135894775,0.053719520568847656,10,10000,28
12,4,[4],MLP_4_epochs10_rwlen66_n_rw10000,350.08823720059655,0.03569895029067993,18.707242965698242,0.048115819311291864,0.03887522220611572,18.676406860351562,0.07115892088260053,-0.030836105346679688,-0.02304310157130867,3.611473560333252,0.12546277046203613,10,10000,66
12,8,[8],MLP_8_epochs10_rwlen66_n_rw10000,119.5715760696766,0.6770600080490112,10.825909614562988,0.8251142264669693,0.6182199716567993,11.770910263061523,0.8023915335808367,0.9450006484985352,0.0227226928861326,3.61913800239563,0.12628746032714844,10,10000,66
12,16,[16],MLP_16_epochs10_rwlen66_n_rw10000,91.52471867051236,0.7522287964820862,9.482630729675293,0.8620062074514582,0.6983315944671631,10.463292121887207,0.8422136362586615,0.9806613922119141,0.01979257119279665,3.6102309226989746,0.12621855735778809,10,10000,66
12,24,[24],MLP_24_epochs10_rwlen66_n_rw10000,86.47068399828534,0.7636623382568359,9.26125717163086,0.8660749126671192,0.7234577536582947,10.018073081970215,0.8515363854426844,0.7568159103393555,0.014538527224434827,3.6262800693511963,0.12591195106506348,10,10000,66
12,32,[32],MLP_32_epochs10_rwlen66_n_rw10000,82.66493711249773,0.7735186219215393,9.066082954406738,0.8726658429097056,0.7226341962814331,10.032979011535645,0.8523015659007912,0.9668960571289062,0.02036427700891441,3.626620292663574,0.12590265274047852,10,10000,66
12,48,[48],MLP_48_epochs10_rwlen66_n_rw10000,79.07262221935183,0.7838727235794067,8.85642147064209,0.875515913322206,0.7327754497528076,9.847854614257812,0.8556781857966749,0.9914331436157227,0.019837727525531146,3.6350371837615967,0.12645840644836426,10,10000,66
12,64,[64],MLP_64_epochs10_rwlen66_n_rw10000,81.27203984223596,0.7784731984138489,8.966368675231934,0.8745423651807114,0.7283670902252197,9.928751945495605,0.8560408439226717,0.9623832702636719,0.01850152125803972,3.62842059135437,0.12626194953918457,10,10000,66
12,128,[128],MLP_128_epochs10_rwlen66_n_rw10000,76.35584920247396,0.7916029691696167,8.696595191955566,0.88026043370255,0.7430405616760254,9.656855583190918,0.8611943562854124,0.9602603912353516,0.019066077417137617,3.6426782608032227,0.12566852569580078,10,10000,66
12,256,[256],MLP_256_epochs10_rwlen66_n_rw10000,74.468798189385,0.7973730564117432,8.57535457611084,0.8835002342597446,0.7427526116371155,9.662264823913574,0.8627953266849087,1.0869102478027344,0.020704907574835896,3.660709857940674,0.12595200538635254,10,10000,66
12,512,[512],MLP_512_epochs10_rwlen66_n_rw10000,75.80980277837709,0.7949422001838684,8.626639366149902,0.8814329078184254,0.7471745014190674,9.578862190246582,0.8635858297394228,0.9522228240966797,0.017847078079002654,3.6797919273376465,0.12611889839172363,10,10000,66
12,1024,[1024],MLP_1024_epochs10_rwlen66_n_rw10000,75.70939648058987,0.7964475750923157,8.594915390014648,0.8832894020971039,0.7414922714233398,9.685905456542969,0.862082596698172,1.0909900665283203,0.02120680539893194,3.664297103881836,0.12589311599731445,10,10000,66
