n,model,params_hash,params,train_r2,val_r2,test_r2,train_rmse,val_rmse,test_rmse,train_spearman,val_spearman,test_spearman,fit_time,predict_time,n_features,n_train,n_val,n_test,best_iteration,model_path
8,lgb,learning_rate=0.2_max_depth=6_num_leaves=127,"{""num_leaves"": 127, ""max_depth"": 6, ""learning_rate"": 0.2}",0.5116510090963213,0.5009769499950629,0.5006712378540962,12.905684159711452,13.040146944890717,13.05357958884419,0.7125461391270914,0.7041194456913911,0.7053869643468516,12.417971849441528,0.20093774795532227,83,425000,75000,32000,312,
8,lgb,learning_rate=0.05_max_depth=8_num_leaves=127,"{""num_leaves"": 127, ""max_depth"": 8, ""learning_rate"": 0.05}",0.508841742274847,0.4985548927867034,0.5040829148005112,12.939978824228518,13.10123032405623,13.008908690752103,0.7107925103580023,0.7029255981925018,0.7074102038635774,20.88913369178772,0.4163820743560791,83,425000,75000,32000,487,
8,lgb,learning_rate=0.1_max_depth=8_num_leaves=127,"{""num_leaves"": 127, ""max_depth"": 8, ""learning_rate"": 0.1}",0.5117058501149607,0.49918165947825577,0.5029718071655076,12.911846002641576,13.033870773397764,13.023473837834919,0.7127625295264933,0.7037178201358681,0.7064530451245147,12.995821237564087,0.21628880500793457,83,425000,75000,32000,244,
8,lgb,learning_rate=0.2_max_depth=8_num_leaves=127,"{""num_leaves"": 127, ""max_depth"": 8, ""learning_rate"": 0.2}",0.506828492461074,0.49930188189706226,0.5013923791686163,12.97037642612928,13.110320839556492,13.044150053135299,0.7093048781803598,0.7038814756087451,0.7057994465997547,8.31186056137085,0.10367941856384277,83,425000,75000,32000,123,
8,lgb,learning_rate=0.05_max_depth=10_num_leaves=127,"{""num_leaves"": 127, ""max_depth"": 10, ""learning_rate"": 0.05}",0.5090160294967909,0.4968599839726724,0.5023681135956032,12.9344795371622,13.096423543514923,13.031380634280485,0.7113120017315866,0.7018651016913163,0.7056804179678376,15.935442447662354,0.2919301986694336,83,425000,75000,32000,366,
8,lgb,learning_rate=0.1_max_depth=10_num_leaves=127,"{""num_leaves"": 127, ""max_depth"": 10, ""learning_rate"": 0.1}",0.5104567488764483,0.5010926133566587,0.5013320510656598,12.922253853710387,13.05949303899972,13.044939155620604,0.712242700958594,0.7049847550961305,0.7047569429286465,10.034643173217773,0.15432190895080566,83,425000,75000,32000,192,
8,lgb,learning_rate=0.2_max_depth=10_num_leaves=127,"{""num_leaves"": 127, ""max_depth"": 10, ""learning_rate"": 0.2}",0.5070103149367478,0.49620595306332915,0.5017851864656839,12.96537460960003,13.116396208441035,13.039010894948488,0.7092555132130687,0.7014210244678073,0.7053119025457025,6.430670738220215,0.05637621879577637,83,425000,75000,32000,87,
8,lgb,learning_rate=0.05_max_depth=12_num_leaves=127,"{""num_leaves"": 127, ""max_depth"": 12, ""learning_rate"": 0.05}",0.5154444071653213,0.5053778135538447,0.5023035261281139,12.864079778326957,13.006968829077804,13.03222627599679,0.7155403192554893,0.7078156369325025,0.705614343650928,17.759074211120605,0.30973172187805176,83,425000,75000,32000,443,
8,lgb,learning_rate=0.1_max_depth=12_num_leaves=127,"{""num_leaves"": 127, ""max_depth"": 12, ""learning_rate"": 0.1}",0.5097915437438023,0.4964308972410716,0.5028708303820397,12.942126940675998,13.122858381693575,13.024796702141995,0.7115260791783379,0.7021881740164508,0.7063317066705076,10.522119045257568,0.15903329849243164,83,425000,75000,32000,211,
8,lgb,learning_rate=0.2_max_depth=12_num_leaves=127,"{""num_leaves"": 127, ""max_depth"": 12, ""learning_rate"": 0.2}",0.5065075464334285,0.4923556459496754,0.500426264192543,12.972674000764963,13.186112092108573,13.056781278105822,0.7089850092910416,0.698715769997928,0.7049397697513529,7.028858423233032,0.07124543190002441,83,425000,75000,32000,116,
