n_permutations_length,width,layers,model,final_train_loss,r2_test,rmse_test,spearman_test,fit_time_sec,predict_time_sec,n_epochs,n_random_walks_to_generate,n_random_walk_length
20,1024,[1024],MLP_1024_epochs10_rwlen190_n_rw10000,567.333930064892,0.7670552134513855,26.471799850463867,0.8697970183180352,10.74789047241211,0.5063238143920898,10,10000,190
24,4,[4],MLP_4_epochs10_rwlen276_n_rw10000,4744.502934939784,0.23534351587295532,69.67047882080078,0.4755397541951114,15.280548095703125,0.674126148223877,10,10000,276
24,8,[8],MLP_8_epochs10_rwlen276_n_rw10000,1828.242531705681,0.7002812623977661,43.61868667602539,0.8373878022629597,15.367854595184326,0.7997138500213623,10,10000,276
24,16,[16],MLP_16_epochs10_rwlen276_n_rw10000,1358.8145516053153,0.7854533195495605,36.90426254272461,0.8848990547725395,15.307843446731567,0.521087646484375,10,10000,276
24,24,[24],MLP_24_epochs10_rwlen276_n_rw10000,1184.1196464289544,0.8029489517211914,35.36754608154297,0.8927522771418799,15.263796091079712,0.6675903797149658,10,10000,276
24,32,[32],MLP_32_epochs10_rwlen276_n_rw10000,1240.9453352749879,0.8049169182777405,35.19049835205078,0.894117128168747,15.279407262802124,0.8036224842071533,10,10000,276
24,48,[48],MLP_48_epochs10_rwlen276_n_rw10000,1135.6550705680509,0.8048104047775269,35.200103759765625,0.8939610371986478,15.351992845535278,0.6557722091674805,10,10000,276
24,64,[64],MLP_64_epochs10_rwlen276_n_rw10000,1116.5145922244833,0.8066601753234863,35.03291320800781,0.8937992412160513,15.308139324188232,0.655221700668335,10,10000,276
24,128,[128],MLP_128_epochs10_rwlen276_n_rw10000,1191.7087919874787,0.8042438626289368,35.25114822387695,0.8925107411525939,15.53037977218628,0.6856153011322021,10,10000,276
24,256,[256],MLP_256_epochs10_rwlen276_n_rw10000,1032.0201808352144,0.8005889058113098,35.57871627807617,0.889493923315136,15.640170335769653,0.7951869964599609,10,10000,276
24,512,[512],MLP_512_epochs10_rwlen276_n_rw10000,989.1143893233393,0.8031247854232788,35.35176467895508,0.8918953221691907,15.528926372528076,0.5266354084014893,10,10000,276
24,1024,[1024],MLP_1024_epochs10_rwlen276_n_rw10000,874.1913474334807,0.7885396480560303,36.63785934448242,0.8854775457207799,16.832911252975464,0.6721017360687256,10,10000,276
28,4,[4],MLP_4_epochs10_rwlen378_n_rw10000,8038.946329664435,0.3013107180595398,91.2098388671875,0.496726730893587,20.931410312652588,1.1277635097503662,10,10000,378
28,8,[8],MLP_8_epochs10_rwlen378_n_rw10000,3674.8665352900907,0.6989723443984985,59.86911392211914,0.8411937696409959,20.92097544670105,0.8547215461730957,10,10000,378
28,16,[16],MLP_16_epochs10_rwlen378_n_rw10000,2423.5697396093433,0.7788262367248535,51.31760787963867,0.8860546458962834,20.914419889450073,0.9929232597351074,10,10000,378
28,24,[24],MLP_24_epochs10_rwlen378_n_rw10000,2195.5718232358395,0.8060802817344666,48.05190658569336,0.9013327445513761,21.013492584228516,0.8741252422332764,10,10000,378
28,32,[32],MLP_32_epochs10_rwlen378_n_rw10000,2119.9178595413755,0.8191955089569092,46.398529052734375,0.9077420164062338,20.94705843925476,0.8559169769287109,10,10000,378
28,48,[48],MLP_48_epochs10_rwlen378_n_rw10000,1811.3373663707002,0.8258539438247681,45.536163330078125,0.9108093905021082,21.051474809646606,1.131230115890503,10,10000,378
28,64,[64],MLP_64_epochs10_rwlen378_n_rw10000,1876.2774481974857,0.8124709129333496,47.25349807739258,0.9001975225582001,21.0302255153656,0.7167081832885742,10,10000,378
28,128,[128],MLP_128_epochs10_rwlen378_n_rw10000,1838.1304620844055,0.8188859224319458,46.43824005126953,0.9046742719180482,21.30460286140442,1.0175230503082275,10,10000,378
28,256,[256],MLP_256_epochs10_rwlen378_n_rw10000,1575.9230471328951,0.8221778869628906,46.01426696777344,0.9100972005176361,21.28575563430786,1.0098943710327148,10,10000,378
28,512,[512],MLP_512_epochs10_rwlen378_n_rw10000,1556.6459602198906,0.7957875728607178,49.31064987182617,0.8923791228941111,21.309045791625977,0.8563220500946045,10,10000,378
28,1024,[1024],MLP_1024_epochs10_rwlen378_n_rw10000,1388.9352892775448,0.8023203015327454,48.51551818847656,0.8970148639149534,21.34094548225403,1.1493995189666748,10,10000,378
