n,epochs,optimizer,lr,weight_decay,hidden_dim,test_r2,test_rmse,test_spearman,train_r2,train_rmse,fit_time,predict_time,final_train_loss,final_val_loss
32,100,adamw,0.0005,0.01,512,0.6611565351486206,43.017539978027344,0.8080771358087453,-13.1578950881958,21.696773529052734,758.9832534790039,0.09102725982666016,1869.432606640625,1826.3399658203125
48,25,adam,0.001,0.0,512,0.6762614846229553,63.07196044921875,0.8164023711841527,-16.169748306274414,23.89339256286621,278.4155900478363,0.2841477394104004,3795.256531575521,3949.29541015625
48,25,adam,0.0005,0.0,512,0.6770423054695129,62.995849609375,0.8169266524485206,-15.27479362487793,23.26235008239746,278.6625118255615,0.2821652889251709,3771.6866358072916,3939.78515625
48,25,adamw,0.001,0.01,512,0.6737074851989746,63.32025909423828,0.8144623454986705,-14.265702247619629,22.529638290405273,283.63885617256165,0.28349733352661133,3838.276222591146,4117.77490234375
48,25,adamw,0.0005,0.01,512,0.6747358441352844,63.220401763916016,0.8153762445361427,-14.443474769592285,22.66044044494629,284.0009744167328,0.284076452255249,3833.0902389973958,3982.05908203125
48,50,adam,0.001,0.0,512,0.6765437722206116,63.044456481933594,0.8165132494173215,-14.068831443786621,22.383892059326172,555.8596746921539,0.2823972702026367,3774.857703059896,3931.35107421875
48,50,adam,0.0005,0.0,512,0.6801284551620483,62.69414138793945,0.8185769041895307,-14.654908180236816,22.815032958984375,557.207674741745,0.2825307846069336,3816.115878971354,4045.495849609375
48,50,adamw,0.001,0.01,512,0.6764653325080872,63.052101135253906,0.8165308431654534,-14.045602798461914,22.366634368896484,566.4749326705933,0.28229403495788574,3749.192646809896,3975.876708984375
48,50,adamw,0.0005,0.01,512,0.6787573099136353,62.828369140625,0.8174671150314675,-15.322038650512695,23.296091079711914,567.519856929779,0.2818489074707031,3831.243586393229,3913.18701171875
48,100,adam,0.001,0.0,512,0.6790927648544312,62.79555130004883,0.8178901577639922,-16.647705078125,24.223670959472656,1110.8128385543823,0.2833137512207031,3718.3762285807293,4018.573486328125
48,100,adam,0.0005,0.0,512,0.6802853941917419,62.67875671386719,0.8187063295166774,-14.331735610961914,22.57831382751465,1112.7269682884216,0.2834632396697998,3721.9519374348956,4004.567138671875
48,100,adamw,0.001,0.01,512,0.6765285730361938,63.04594039916992,0.8161924961893474,-13.4976224899292,21.95554542541504,1132.520668745041,0.2827785015106201,3791.7493591796874,4106.263671875
48,100,adamw,0.0005,0.01,512,0.6794086694717407,62.76463317871094,0.8180223231820436,-14.485025405883789,22.690902709960938,1563.0938663482666,0.41793346405029297,3767.7953678385416,3896.124755859375
64,25,adam,0.001,0.0,512,0.6925863027572632,81.94832611083984,0.8269912556427927,-14.37022876739502,22.606637954711914,576.3988666534424,0.6373555660247803,6157.9130484375,6890.10693359375
64,25,adam,0.0005,0.0,512,0.6965693235397339,81.41571044921875,0.8291623566387656,-15.942241668701172,23.73456382751465,579.9556603431702,0.6362094879150391,6204.157356640625,6627.49072265625
64,25,adamw,0.001,0.01,512,0.6959827542304993,81.49436950683594,0.8284953393034976,-19.287172317504883,25.972070693969727,591.6319303512573,0.6353979110717773,6195.09826484375,6769.765625
64,25,adamw,0.0005,0.01,512,0.6994872093200684,81.02330780029297,0.8308105275865071,-15.35660171508789,23.320741653442383,592.9823713302612,0.6369121074676514,6275.251429882813,6485.42822265625
64,50,adam,0.001,0.0,512,0.6918146014213562,82.0511245727539,0.8260171176143156,-15.983217239379883,23.763248443603516,1158.2882208824158,0.6374421119689941,6180.883513769531,6567.62451171875
64,50,adam,0.0005,0.0,512,0.698826253414154,81.11235809326172,0.8305650974029734,-12.583944320678711,21.252437591552734,1160.0531730651855,0.6386029720306396,6177.88761484375,6547.203125
64,50,adamw,0.001,0.01,512,0.6954524517059326,81.56542205810547,0.8282059034042164,-14.48869800567627,22.693593978881836,1184.8593056201935,0.6350855827331543,6213.956040136719,6758.27197265625
64,50,adamw,0.0005,0.01,512,0.6986716985702515,81.13317108154297,0.830436654761345,-16.106781005859375,23.849538803100586,1185.5179235935211,0.6377980709075928,6242.255790332031,6596.744140625
64,100,adam,0.001,0.0,512,0.6987751722335815,81.11924743652344,0.8303106208617677,-20.61224365234375,26.806848526000977,2314.171100139618,0.6379435062408447,6130.5491423828125,6555.07470703125
64,100,adam,0.0005,0.0,512,0.7019912600517273,80.6850357055664,0.8322563689964332,-12.914395332336426,21.50938606262207,2319.0532693862915,0.6387603282928467,6170.060259765625,6705.2333984375
64,100,adamw,0.001,0.01,512,0.6975635290145874,81.2822265625,0.8295500015139169,-16.58538055419922,24.180858612060547,2413.0542409420013,0.6402137279510498,6169.3328890625,6629.953125
64,100,adamw,0.0005,0.01,512,0.6989358067512512,81.09760284423828,0.8303745367542007,-21.710590362548828,27.479576110839844,2444.4692854881287,0.6390879154205322,6217.654176855469,6483.7890625
