coset,d,k,n,diameter,last_layer_size,total_states,growth,central
2Different,2,4,14,12,1,14,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,4,15,13,1,15,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,4,16,14,1,16,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,4,17,15,1,17,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,4,18,16,1,18,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,4,19,17,1,19,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,2,4,20,18,1,20,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,1,9,6,1,9,"[1, 1, 2, 2, 1, 1, 1]",
2Different,3,1,10,7,1,10,"[1, 1, 2, 2, 1, 1, 1, 1]",
2Different,3,1,11,8,1,11,"[1, 1, 2, 2, 1, 1, 1, 1, 1]",
2Different,3,1,12,9,1,12,"[1, 1, 2, 2, 1, 1, 1, 1, 1, 1]",
2Different,3,1,13,10,1,13,"[1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,1,14,11,1,14,"[1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,1,15,12,1,15,"[1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,1,16,13,1,16,"[1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,1,17,14,1,17,"[1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,1,18,15,1,18,"[1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,1,19,16,1,19,"[1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,1,20,17,1,20,"[1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,2,9,6,1,9,"[1, 1, 1, 2, 2, 1, 1]",
2Different,3,2,10,7,1,10,"[1, 1, 1, 2, 2, 1, 1, 1]",
2Different,3,2,11,8,1,11,"[1, 1, 1, 2, 2, 1, 1, 1, 1]",
2Different,3,2,12,9,1,12,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 1]",
2Different,3,2,13,10,1,13,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1]",
2Different,3,2,14,11,1,14,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,2,15,12,1,15,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,2,16,13,1,16,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,2,17,14,1,17,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,2,18,15,1,18,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,2,19,16,1,19,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,2,20,17,1,20,"[1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,3,9,6,1,9,"[1, 1, 1, 1, 2, 2, 1]",
2Different,3,3,10,7,1,10,"[1, 1, 1, 1, 2, 2, 1, 1]",
2Different,3,3,11,8,1,11,"[1, 1, 1, 1, 2, 2, 1, 1, 1]",
2Different,3,3,12,9,1,12,"[1, 1, 1, 1, 2, 2, 1, 1, 1, 1]",
2Different,3,3,13,10,1,13,"[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1]",
2Different,3,3,14,11,1,14,"[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1]",
2Different,3,3,15,12,1,15,"[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,3,16,13,1,16,"[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,3,17,14,1,17,"[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,3,18,15,1,18,"[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,3,19,16,1,19,"[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,3,20,17,1,20,"[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",
2Different,3,4,9,6,2,9,"[1, 1, 1, 1, 1, 2, 2]",
2Different,3,4,10,7,1,10,"[1, 1, 1, 1, 1, 2, 2, 1]",
2Different,3,4,11,8,1,11,"[1, 1, 1, 1, 1, 2, 2, 1, 1]",
2Different,3,4,12,9,1,12,"[1, 1, 1, 1, 1, 2, 2, 1, 1, 1]",
2Different,3,4,13,10,1,13,"[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1]",
2Different,3,4,14,11,1,14,"[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1]",
2Different,3,4,15,12,1,15,"[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1]",
2Different,3,4,16,13,1,16,"[1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1]",
